tag,arm,task,n_ops,seed,position,window_k,natural_window,pr,null_mean,z,ratio,cos_consecutive
untrained_local_n8_ns128_seed1,untrained,local,8,1,mid,30,41,22.735382927738385,29.83418867242773,-581.0809291103948,0.7620580260240177,-0.3680333842041388
untrained_local_n8_ns128_seed1,untrained,local,8,1,mid,41,41,29.496445634476117,40.68604824341104,-598.3112855600997,0.7249769124297533,-0.3835573612935902
untrained_count_ones_n8_ns128_seed1,untrained,count_ones,8,1,mid,10,39,8.287079406765919,9.981593613500841,-385.1556397522611,0.8302361053406375,-0.33506512779411546
untrained_count_ones_n8_ns128_seed1,untrained,count_ones,8,1,mid,15,39,12.409378373168332,14.959828476839263,-606.2787504884292,0.8295134126959058,-0.32831179095924
untrained_count_ones_n8_ns128_seed1,untrained,count_ones,8,1,mid,20,39,16.377866241366565,19.928054526044242,-424.53292041983275,0.8218497304873444,-0.3289626424921638
untrained_count_ones_n8_ns128_seed1,untrained,count_ones,8,1,mid,30,39,23.659692430860783,29.83418867242773,-505.4205090092057,0.7930395792102329,-0.339352603261921
untrained_track_n16_ns128_seed0,untrained,track,16,0,mid,10,42,7.803318517328564,9.981593613500841,-495.1123660622663,0.7817708092998297,-0.39098234845466373
untrained_track_n16_ns128_seed0,untrained,track,16,0,mid,15,42,11.578633780895034,14.959828476839263,-803.7587139872403,0.7739817203667155,-0.3896117558782292
untrained_track_n16_ns128_seed0,untrained,track,16,0,mid,20,42,15.292159591374206,19.928054526044242,-554.3621514016864,0.7673684137801148,-0.3874538608935124
untrained_track_n16_ns128_seed0,untrained,track,16,0,mid,30,42,22.161448418899006,29.83418867242773,-628.0610000743593,0.7428205493444592,-0.3850680434884802
untrained_track_n16_ns128_seed0,untrained,track,16,0,mid,41,42,29.25233516734802,40.68604824341104,-611.3639427911496,0.7189770555336579,-0.38904985044727464
untrained_local_n16_ns128_seed0,untrained,local,16,0,mid,10,41,7.918700279486347,9.981593613500841,-468.8865980852285,0.7933302622915565,-0.3754568852024271
untrained_local_n16_ns128_seed0,untrained,local,16,0,mid,15,41,11.584070484396657,14.959828476839263,-802.466331203121,0.7743451405429588,-0.38540754854823195
untrained_local_n16_ns128_seed0,untrained,local,16,0,mid,20,41,15.061148072715644,19.928054526044242,-581.9866002485295,0.755776137255748,-0.3927949344682274
untrained_local_n16_ns128_seed0,untrained,local,16,0,mid,30,41,21.394123463847293,29.83418867242773,-690.8712689910155,0.7171008971871051,-0.4016939530138112
untrained_local_n16_ns128_seed0,untrained,local,16,0,mid,41,41,27.38137003214285,40.68604824341104,-711.4049893238363,0.672991632618859,-0.4038877615489331
untrained_count_ones_n16_ns128_seed0,untrained,count_ones,16,0,mid,10,42,8.205577411007388,9.981593613500841,-403.68068556934446,0.8220708765290484,-0.3443376442510037
untrained_count_ones_n16_ns128_seed0,untrained,count_ones,16,0,mid,15,42,11.980380069423807,14.959828476839263,-708.257830644331,0.8008367267025672,-0.35950657695428884
untrained_count_ones_n16_ns128_seed0,untrained,count_ones,16,0,mid,20,42,15.321137128893435,19.928054526044242,-550.8970059944112,0.7688225214794567,-0.37336883405047694
untrained_count_ones_n16_ns128_seed0,untrained,count_ones,16,0,mid,30,42,20.769261642582812,29.83418867242773,-742.0200538324111,0.696156408696893,-0.40122298488233493
untrained_count_ones_n16_ns128_seed0,untrained,count_ones,16,0,mid,41,42,26.148327261518812,40.68604824341104,-777.3361426476877,0.6426853526074123,-0.42515311050976023
untrained_track_n16_ns128_seed1,untrained,track,16,1,mid,10,43,7.988027391310181,9.981593613500841,-453.1288499350164,0.8002757576210862,-0.37151305427413944
untrained_track_n16_ns128_seed1,untrained,track,16,1,mid,15,43,11.89385091299592,14.959828476839263,-728.8270583129726,0.7950526258646564,-0.36541409855415485
untrained_track_n16_ns128_seed1,untrained,track,16,1,mid,20,43,15.554562202136433,19.928054526044242,-522.9839433349584,0.7805359114111198,-0.35909252868963065
untrained_track_n16_ns128_seed1,untrained,track,16,1,mid,30,43,22.1842528100835,29.83418867242773,-626.1943203406315,0.7435849204300912,-0.36313530392591475
untrained_track_n16_ns128_seed1,untrained,track,16,1,mid,41,43,28.933608592208348,40.68604824341104,-628.406344883402,0.7111432503620955,-0.3732663128883936
untrained_local_n16_ns128_seed1,untrained,local,16,1,mid,10,41,8.26875102393223,9.981593613500841,-389.3216007031202,0.828399887243269,-0.32955448653786756
untrained_local_n16_ns128_seed1,untrained,local,16,1,mid,15,41,12.18416506308966,14.959828476839263,-659.8152004002827,0.8144588744418513,-0.3247402068355728
untrained_local_n16_ns128_seed1,untrained,local,16,1,mid,20,41,16.071915216577832,19.928054526044242,-461.11866507444165,0.8064969510984241,-0.321631050073401
untrained_local_n16_ns128_seed1,untrained,local,16,1,mid,30,41,23.272884620642664,29.83418867242773,-537.0831083016079,0.7800743260081038,-0.3215833743871107
untrained_local_n16_ns128_seed1,untrained,local,16,1,mid,41,41,29.942821947812373,40.68604824341104,-574.4434150726764,0.7359481503014121,-0.3262447732235106
untrained_count_ones_n16_ns128_seed1,untrained,count_ones,16,1,mid,10,41,8.121102461844334,9.981593613500841,-422.881470643096,0.8136078041546336,-0.35472211994520775
untrained_count_ones_n16_ns128_seed1,untrained,count_ones,16,1,mid,15,41,12.04227808407608,14.959828476839263,-693.5437803960707,0.8049743419665459,-0.34586735294552534
untrained_count_ones_n16_ns128_seed1,untrained,count_ones,16,1,mid,20,41,15.72607183593112,19.928054526044242,-502.4747534338924,0.789142352826188,-0.3428530456307676
untrained_count_ones_n16_ns128_seed1,untrained,count_ones,16,1,mid,30,41,22.97182140135908,29.83418867242773,-561.7269852400841,0.7699831107721479,-0.34402527078635403
untrained_count_ones_n16_ns128_seed1,untrained,count_ones,16,1,mid,41,41,30.466455002711022,40.68604824341104,-546.4446042848825,0.7488182391280765,-0.34714098320298364
